
1586684135.172349,9, 73, 192, 195, -64, -7.68
1586684135.215353,9, 74, 183, 203, -65, -7.8
1586684135.2615,8, 75, 195, 197, -67, -8.039999999999999
1586684135.307861,8, 75, 186, 216, -67, -8.039999999999999
1586684135.353172,9, 74, 200, 208, -65, -7.8
1586684135.393144,9, 73, 199, 215, -64, -7.68
1586684135.434763,10, 72, 188, 206, -62, -7.44
1586684135.484578,10, 70, 190, 205, -60, -7.199999999999999
1586684135.529262,13, 72, 184, 206, -59, -7.08
1586684135.574647,17, 72, 187, 197, -55, -6.6
1586684135.625469,22, 73, 201, 208, -51, -6.12
1586684135.672258,30, 73, 187, 227, -43, -5.16
1586684135.716509,35, 70, 198, 200, -35, -4.2
1586684135.765017,43, 70, 191, 200, -27, -3.24
1586684135.809726,50, 68, 188, 205, -18, -2.16
1586684135.86695,59, 66, 192, 193, -7, -0.84
1586684135.915375,66, 60, 211, 193, 6, 0.7199999999999999
1586684135.96443,73, 52, 193, 207, 21, 2.52
1586684136.005757,76, 44, 211, 199, 32, 3.84
1586684136.048406,78, 34, 196, 206, 44, 5.279999999999999
1586684136.093826,81, 27, 211, 195, 54, 6.48
1586684136.142756,80, 22, 198, 191, 58, 6.96
1586684136.184748,83, 16, 198, 206, 67, 8.039999999999999
1586684136.229307,84, 14, 225, 173, 70, 8.4
1586684136.275747,83, 10, 193, 189, 73, 8.76
1586684136.323566,84, 8, 208, 192, 76, 9.119999999999999
1586684136.364491,84, 8, 221, 202, 76, 9.119999999999999
1586684136.408938,82, 7, 199, 189, 75, 9.0
1586684136.45479,80, 9, 203, 191, 71, 8.52
1586684136.499114,80, 8, 208, 188, 72, 8.640000000000001
1586684136.544595,80, 7, 211, 185, 73, 8.76
1586684136.589775,83, 7, 210, 194, 76, 9.119999999999999
1586684136.631398,85, 7, 210, 196, 78, 9.359999999999999
1586684136.685375,86, 8, 207, 184, 78, 9.359999999999999
1586684136.725141,86, 8, 208, 191, 78, 9.359999999999999
1586684136.769729,86, 6, 204, 183, 80, 9.6
1586684136.815317,85, 8, 217, 195, 77, 9.24
1586684136.862565,81, 9, 205, 195, 72, 8.640000000000001
1586684136.91196,80, 8, 209, 197, 72, 8.640000000000001
1586684136.953708,79, 7, 219, 178, 72, 8.640000000000001
1586684136.994486,80, 8, 193, 195, 72, 8.640000000000001
1586684137.039652,80, 7, 201, 181, 73, 8.76
1586684137.083819,80, 6, 210, 186, 74, 8.879999999999999
1586684137.128838,81, 6, 212, 199, 75, 9.0
1586684137.1715,81, 7, 200, 185, 74, 8.879999999999999
1586684137.214647,81, 7, 216, 197, 74, 8.879999999999999
1586684137.260034,82, 7, 209, 193, 75, 9.0
1586684137.305488,82, 9, 202, 189, 73, 8.76
1586684137.373564,80, 8, 209, 182, 72, 8.640000000000001
1586684137.414281,79, 8, 212, 198, 71, 8.52
1586684137.459308,77, 8, 205, 196, 69, 8.279999999999999
1586684137.503781,76, 9, 225, 188, 67, 8.039999999999999
1586684137.545969,76, 9, 183, 195, 67, 8.039999999999999
1586684137.590953,78, 9, 229, 187, 69, 8.279999999999999
1586684137.636438,78, 9, 208, 196, 69, 8.279999999999999
1586684137.682731,79, 8, 197, 192, 71, 8.52
1586684137.726422,81, 7, 226, 193, 74, 8.879999999999999
1586684137.769936,83, 7, 207, 190, 76, 9.119999999999999
1586684137.81395,82, 7, 202, 197, 75, 9.0
1586684137.860501,82, 7, 209, 181, 75, 9.0
1586684137.903025,82, 7, 199, 195, 75, 9.0
1586684137.949845,83, 8, 221, 180, 75, 9.0
1586684137.993863,81, 8, 198, 187, 73, 8.76
1586684138.036683,79, 8, 204, 198, 71, 8.52
1586684138.083576,79, 8, 215, 184, 71, 8.52
1586684138.125271,79, 8, 200, 192, 71, 8.52
1586684138.173575,81, 8, 201, 192, 73, 8.76
1586684138.212994,82, 8, 213, 185, 74, 8.879999999999999
1586684138.258434,82, 8, 206, 200, 74, 8.879999999999999
1586684138.301481,82, 9, 214, 191, 73, 8.76
1586684138.345643,82, 7, 207, 189, 75, 9.0
1586684138.394037,82, 9, 219, 201, 73, 8.76
1586684138.434356,82, 10, 205, 186, 72, 8.640000000000001
1586684138.48489,81, 8, 199, 186, 73, 8.76
1586684138.529359,80, 8, 216, 195, 72, 8.640000000000001
1586684138.576025,80, 10, 187, 192, 70, 8.4
1586684138.62237,82, 8, 208, 179, 74, 8.879999999999999
